@relation machine10
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute label {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0}
@data
-0.55261,-0.22378,0.35849,0.95485,0.04422,-0.39496,7.0
0.56165,-0.72291,-1.00048,-0.62039,-0.54261,-0.54882,1.0
-0.16838,-0.60741,-0.83538,-0.57117,-0.24919,-0.39496,4.0
-0.55261,0.29185,0.35849,0.16723,-0.54261,-0.47189,8.0
-0.3797,-0.67341,-0.83538,-0.62039,-0.24919,-0.31803,3.0
-0.30286,-0.60741,-0.92066,-0.62039,0.48435,0.06662,4.0
-0.58334,0.29185,0.35849,0.16723,-0.10248,-0.2411,8.0
-0.68709,-0.22378,0.01738,-0.22658,-0.24919,-0.51036,7.0
1.90645,-0.67341,-0.83538,-0.62039,-0.54261,-0.66422,2.0
0.44638,-0.60741,-0.32372,-0.52194,-0.54261,-0.51036,5.0
0.75376,-0.48159,-0.7501,-0.62039,-0.54261,-0.62575,4.0
-0.64866,1.32311,1.72291,0.95485,0.48435,0.22049,10.0
-0.09153,-0.54141,0.01738,-0.47271,-0.54261,0.48975,7.0
-0.66787,1.32311,4.45176,1.74247,1.07118,6.06724,10.0
0.48481,-0.48159,-0.7501,-0.62039,-0.3959,-0.54882,1.0
1.06115,-0.71466,-0.96227,-0.62039,-0.54261,-0.66422,1.0
2.32909,-0.48159,-0.57955,-0.62039,-0.54261,-0.66422,2.0
-0.3797,-0.22378,-0.49428,-0.22658,0.19093,-0.08724,4.0
-0.68709,-0.40167,-0.78251,2.60393,1.07118,0.22049,10.0
0.44638,-0.60741,-0.57955,-0.52194,-0.54261,-0.51036,7.0
2.6749,-0.60741,-0.92066,-0.62039,-0.54261,-0.62575,1.0
-0.30286,-0.22378,-0.32372,-0.62039,-0.3959,-0.16417,6.0
-0.55261,-0.22378,-0.32372,0.97946,-0.54261,-0.39496,8.0
-0.49497,-0.22378,-0.32372,0.95485,-0.54261,0.759,9.0
2.29067,-0.67341,-0.32372,-0.62039,-0.54261,-0.54882,2.0
-0.67172,1.32311,0.35849,0.16723,0.48435,-0.08724,8.0
-0.01469,-0.48159,-0.66483,-0.62039,-0.54261,-0.54882,3.0
-0.63714,1.32311,1.72291,0.95485,0.48435,0.22049,10.0
-0.2337,-0.14643,-0.47722,-0.62039,0.19093,1.75911,6.0
-0.01469,-0.48159,-0.83538,-0.62039,-0.54261,-0.62575,3.0
0.08137,-0.22378,-0.66483,-0.42349,-0.24919,-0.47189,4.0
0.36954,-0.54141,-0.62219,-0.62039,-0.54261,0.22049,5.0
-0.09153,-0.67186,-0.66483,-0.62039,-0.54261,-0.58729,2.0
-0.68324,1.32311,1.0407,0.16723,0.48435,-0.08724,9.0
-0.71782,0.29185,0.35849,-0.42349,0.19093,-0.2411,8.0
-0.24522,-0.22378,-0.66483,-0.62039,-0.10248,-0.39496,5.0
0.06216,-0.48159,-0.32372,-0.22658,-0.54261,-0.62575,7.0
-0.59103,-0.22378,0.35849,-0.02968,-0.54261,-0.47189,7.0
-0.56798,-0.48159,-0.66483,-0.62039,-0.54261,-0.47189,2.0
0.08137,-0.22378,-0.66483,-0.42349,-0.24919,-0.47189,5.0
0.44638,-0.67341,-0.57955,-0.52194,-0.54261,-0.47189,3.0
-0.66787,1.32311,4.45176,2.53009,1.07118,6.06724,10.0
-0.2068,-0.60741,-0.66483,-0.62039,0.48435,4.2209,3.0
-0.36049,-0.48159,0.01738,-0.22658,-0.54261,-0.62575,6.0
-0.59103,-0.06393,-0.11224,0.118,1.07118,0.22049,3.0
2.29067,-0.67341,-0.32372,-0.62039,-0.54261,-0.54882,1.0
-0.59103,-0.48159,-0.66483,-0.42349,-0.24919,-0.51036,3.0
-0.55261,0.29185,0.35849,0.95485,0.04422,-0.39496,8.0
-0.51418,0.29185,0.01738,-0.42349,0.19093,-0.39496,7.0
-0.69477,3.38564,1.72291,0.95485,1.65801,0.52821,10.0
-0.49497,-0.22378,0.35849,0.95485,-0.54261,0.759,9.0
-0.68709,-0.40167,-0.78251,2.60393,1.07118,0.22049,10.0
