@relation winequality-red-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.instance.StratifiedRemoveFolds-S908985959-V-N4-F1

@attribute FixedAcidity numeric
@attribute VolatileAcidity numeric
@attribute CitricAcid numeric
@attribute ResidualSugar numeric
@attribute Chlorides numeric
@attribute FreeSulfurDioxide numeric
@attribute TotalSulfurDioxide numeric
@attribute Density numeric
@attribute PH numeric
@attribute Sulphates numeric
@attribute Alcohol numeric
@attribute Quality {3,4,5,6,7,8}

@data
7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5
7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,5
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5
6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5
7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,5
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,5
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5
7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,5
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5
9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,5
5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,5
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,5
6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5
6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,5
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5
11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,5
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5
7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5
7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5
8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5
8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5
6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,5
15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5
8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5
7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,5
7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5
8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,5
7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,5
7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2,5
9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5
8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5
7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5
7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,5
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5
11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5
7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,5
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5
7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5
6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,5
7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,5
12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5
8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5
6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,5
6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,6
8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,6
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6
6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6
7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,6
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.066667,6
11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6
10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,6
7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,6
6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,6
8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6
6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.3,0.56,10.75,6
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6
8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6
7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,6
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6
8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,6
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6
11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,6
10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,6
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6
6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,6
5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6
6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,6
8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,6
6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,6
7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,6
7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6
7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6
8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1,6
7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6
6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,6
9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,6
8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,6
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6
7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6
6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,6
6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,6
11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6
7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,6
7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,6
12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,6
6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,6
10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,6
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6
7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,6
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,6
6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,6
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,6
8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,6
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6
7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,6
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6
8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,6
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6
11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6
8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,6
9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,6
7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6
6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,6
7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,6
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6
5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,6
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6
11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,6
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.033333,6
6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,6
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6
7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6
8.8,0.7,0,1.7,0.069,8,19,0.99701,3.31,0.53,10,6
6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,6
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,6
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6
7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,6
6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,6
7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6
6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,6
9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6
6.6,0.44,0.09,2.2,0.063,9,18,0.99444,3.42,0.69,11.3,6
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6
7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6
9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6
8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,6
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6
