@relation winequality-red-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.instance.StratifiedRemoveFolds-S484329355-V-N4-F1

@attribute FixedAcidity numeric
@attribute VolatileAcidity numeric
@attribute CitricAcid numeric
@attribute ResidualSugar numeric
@attribute Chlorides numeric
@attribute FreeSulfurDioxide numeric
@attribute TotalSulfurDioxide numeric
@attribute Density numeric
@attribute PH numeric
@attribute Sulphates numeric
@attribute Alcohol numeric
@attribute Quality {3,4,5,6,7,8}

@data
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6
12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6
8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,6
6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,6
8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,6
7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,6
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6
7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,6
7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,6
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6
7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,6
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6
5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6
8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,6
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,6
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6
10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6
9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6
8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,6
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6
7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,6
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,6
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6
8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6
5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,6
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6
7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6
10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,6
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6
6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,6
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8,6
8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,6
8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6
9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,6
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,6
6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6
7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6
7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6
8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,6
8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6
10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,6
7,0.43,0.02,1.9,0.08,15,28,0.99492,3.35,0.81,10.6,6
10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,6
7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,6
10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,6
7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,6
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6
7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,6
6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6
8.6,0.83,0,2.8,0.095,17,43,0.99822,3.33,0.6,10.4,6
9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6
7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,6
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6
8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,6
6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.3,0.56,10.75,6
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6
7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6
7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,6
6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,6
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,6
7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,6
12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,6
9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,6
6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6
12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6
6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6
9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,6
6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,6
7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,6
5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,6
7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,6
7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6
8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,6
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6
9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,6
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6
7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,6
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.033333,6
7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6
6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6
7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6
10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6
9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,6
10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6
8.8,0.7,0,1.7,0.069,8,19,0.99701,3.31,0.53,10,6
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6
7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6
8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6
7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,6
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6
7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6
