@relation machine
@attribute att0 real
@attribute att1 real
@attribute att2 real
@attribute att3 real
@attribute att4 real
@attribute att5 real
@attribute label {1.0,2.0,3.0,4.0,5.0}
@data
-0.3797,-0.22378,-0.32372,-0.22658,-0.10248,-0.16417,3.0
-0.3797,-0.67341,-0.83538,-0.62039,-0.24919,-0.31803,2.0
-0.69477,3.38564,1.72291,0.95485,1.65801,0.52821,5.0
-0.49497,-0.22378,-0.32372,0.95485,-0.54261,0.759,5.0
-0.36049,-0.48159,-0.66483,-0.22658,-0.54261,-0.62575,2.0
-0.34128,-0.60741,-0.49428,-0.22658,-0.54261,-0.47189,3.0
0.75376,0.29185,-0.32372,-0.62039,-0.54261,-0.66422,2.0
2.29067,-0.67341,-0.32372,-0.62039,-0.54261,-0.54882,1.0
-0.2337,0.05982,-0.47722,-0.62039,0.04422,0.06662,2.0
-0.68324,1.32311,1.72291,0.95485,1.07118,-0.08724,5.0
-0.59103,-0.22378,-0.32372,-0.42349,-0.54261,-0.51036,4.0
-0.68324,1.32311,1.72291,-0.62039,0.48435,0.22049,5.0
-0.07232,-0.22378,0.35849,-0.22658,-0.54261,-0.47189,4.0
-0.09153,-0.60741,-0.66483,-0.62039,-0.54261,-0.58729,1.0
-0.09153,-0.60741,-0.66483,-0.62039,-0.54261,-0.58729,1.0
-0.3797,-0.22378,-0.49428,-0.22658,0.19093,-0.08724,2.0
-0.56413,0.29185,1.0407,0.95485,1.07118,-0.08724,5.0
